borough_code,borough_name,ward_code,ward_name,lsoa_code,lsoa_name,prediction_score,officers_assigned
E09000026,Redbridge,E05011244,Goodmayes,E01003713,Redbridge 034A,0.6880717277526855,12
E09000026,Redbridge,E05011244,Goodmayes,E01003718,Redbridge 034E,0.639690637588501,11
E09000026,Redbridge,E05011244,Goodmayes,E01003715,Redbridge 034C,0.5614489912986755,10
E09000026,Redbridge,E05011244,Goodmayes,E01003714,Redbridge 034B,0.9392325282096863,16
E09000026,Redbridge,E05011244,Goodmayes,E01003716,Redbridge 034D,0.5274512767791748,9
E09000026,Redbridge,E05011249,Monkhams,E01003746,Redbridge 001C,0.6368604302406311,22
E09000026,Redbridge,E05011249,Monkhams,E01003745,Redbridge 001B,0.4533679783344269,15
E09000026,Redbridge,E05011249,Monkhams,E01003749,Redbridge 001F,0.375840961933136,13
E09000026,Redbridge,E05011249,Monkhams,E01003747,Redbridge 001D,0.4639343321323395,16
E09000026,Redbridge,E05011249,Monkhams,E01003748,Redbridge 001E,0.9409700632095337,32
E09000026,Redbridge,E05011248,Mayfield,E01003739,Redbridge 031C,0.6361511945724487,13
E09000026,Redbridge,E05011248,Mayfield,E01003737,Redbridge 031A,0.7202883362770081,14
E09000026,Redbridge,E05011248,Mayfield,E01003743,Redbridge 031G,0.42487388849258423,8
E09000026,Redbridge,E05011248,Mayfield,E01003738,Redbridge 031B,0.8444002270698547,17
E09000026,Redbridge,E05011248,Mayfield,E01003741,Redbridge 031E,0.9559208750724792,19
E09000026,Redbridge,E05011248,Mayfield,E01003740,Redbridge 031D,0.5225772261619568,10
E09000026,Redbridge,E05011248,Mayfield,E01003742,Redbridge 031F,0.7739340662956238,15
E09000026,Redbridge,E05011245,Hainault,E01003727,Redbridge 003D,0.39617884159088135,13
E09000026,Redbridge,E05011245,Hainault,E01003724,Redbridge 003B,0.34541767835617065,11
E09000026,Redbridge,E05011245,Hainault,E01003725,Redbridge 003C,0.3843378722667694,13
E09000026,Redbridge,E05011245,Hainault,E01003723,Redbridge 002C,0.5831172466278076,20
E09000026,Redbridge,E05011245,Hainault,E01003722,Redbridge 002B,0.5394740700721741,18
E09000026,Redbridge,E05011245,Hainault,E01003721,Redbridge 003A,0.6363275051116943,22
E09000026,Redbridge,E05011238,Churchfields,E01003674,Redbridge 007G,1.4666153192520142,21
E09000026,Redbridge,E05011238,Churchfields,E01003672,Redbridge 007E,0.6868849396705627,10
E09000026,Redbridge,E05011238,Churchfields,E01003761,Redbridge 009C,0.2585009038448334,3
E09000026,Redbridge,E05011238,Churchfields,E01003750,Redbridge 001G,0.9980993866920471,14
E09000026,Redbridge,E05011238,Churchfields,E01003671,Redbridge 007D,0.33384960889816284,4
E09000026,Redbridge,E05011238,Churchfields,E01003673,Redbridge 007F,0.6530981659889221,9
E09000026,Redbridge,E05011238,Churchfields,E01003760,Redbridge 009B,0.6317345499992371,9
E09000026,Redbridge,E05011238,Churchfields,E01003669,Redbridge 007B,0.5595696568489075,8
E09000026,Redbridge,E05011238,Churchfields,E01003670,Redbridge 007C,0.3696157932281494,5
E09000026,Redbridge,E05011238,Churchfields,E01003762,Redbridge 009D,0.8811197280883789,12
E09000026,Redbridge,E05011241,Cranbrook,E01003693,Redbridge 035D,0.3236823081970215,11
E09000026,Redbridge,E05011241,Cranbrook,E01003691,Redbridge 035B,0.42891547083854675,15
